<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;12/09/2018;10:19;1.053.000.000.000;1.053.500.000.000;1.053.000.000.000;1.053.100.000.000;28;SPFB.RTS-12.18;1;12/10/2018;10:19;1.137.700.000.000;1.138.000.000.000;1.137.200.000.000;1.138.000.000.000;1066;SPFB.RTS-12.18;1;12/11/2018;10:19;1.126.800.000.000;1.126.800.000.000;1.126.100.000.000;1.126.200.000.000;588;SPFB.RTS-12.18;1;12/12/2018;10:19;1.130.300.000.000;1.131.500.000.000;1.130.100.000.000;1.131.100.000.000;1360
SPFB.RTS-12.18;1;12/09/2018;10:20;1.052.800.000.000;1.053.400.000.000;1.052.800.000.000;1.053.400.000.000;3;SPFB.RTS-12.18;1;12/10/2018;10:20;1.137.900.000.000;1.138.600.000.000;1.137.400.000.000;1.138.500.000.000;1329;SPFB.RTS-12.18;1;12/11/2018;10:20;1.126.300.000.000;1.126.700.000.000;1.126.100.000.000;1.126.700.000.000;618;SPFB.RTS-12.18;1;12/12/2018;10:20;1.131.200.000.000;1.131.200.000.000;1.129.900.000.000;1.130.400.000.000;981
SPFB.RTS-12.18;1;12/09/2018;10:21;1.053.300.000.000;1.053.400.000.000;1.052.900.000.000;1.053.200.000.000;13;SPFB.RTS-12.18;1;12/10/2018;10:21;1.138.500.000.000;1.140.800.000.000;1.138.500.000.000;1.140.700.000.000;2817;SPFB.RTS-12.18;1;12/11/2018;10:21;1.126.700.000.000;1.127.000.000.000;1.126.600.000.000;1.126.700.000.000;573;SPFB.RTS-12.18;1;12/12/2018;10:21;1.130.400.000.000;1.130.400.000.000;1.129.200.000.000;1.130.400.000.000;1525
SPFB.RTS-12.18;1;12/09/2018;10:22;1.052.600.000.000;1.052.700.000.000;1.052.400.000.000;1.052.400.000.000;7;SPFB.RTS-12.18;1;12/10/2018;10:22;1.140.700.000.000;1.141.500.000.000;1.139.900.000.000;1.139.900.000.000;2864;SPFB.RTS-12.18;1;12/11/2018;10:22;1.126.800.000.000;1.127.300.000.000;1.126.500.000.000;1.126.600.000.000;825;SPFB.RTS-12.18;1;12/12/2018;10:22;1.130.500.000.000;1.130.800.000.000;1.130.000.000.000;1.130.400.000.000;1076
SPFB.RTS-12.18;1;12/09/2018;10:23;1.052.500.000.000;1.052.700.000.000;1.052.300.000.000;1.052.300.000.000;25;SPFB.RTS-12.18;1;12/10/2018;10:23;1.140.000.000.000;1.140.300.000.000;1.139.400.000.000;1.139.500.000.000;906;SPFB.RTS-12.18;1;12/11/2018;10:23;1.126.500.000.000;1.126.800.000.000;1.126.000.000.000;1.126.100.000.000;974;SPFB.RTS-12.18;1;12/12/2018;10:23;1.130.500.000.000;1.130.600.000.000;1.130.000.000.000;1.130.100.000.000;670
SPFB.RTS-12.18;1;12/09/2018;10:24;1.052.200.000.000;1.052.400.000.000;1.052.200.000.000;1.052.200.000.000;12;SPFB.RTS-12.18;1;12/10/2018;10:24;1.139.400.000.000;1.139.700.000.000;1.138.700.000.000;1.138.800.000.000;1014;SPFB.RTS-12.18;1;12/11/2018;10:24;1.126.100.000.000;1.126.300.000.000;1.125.400.000.000;1.125.700.000.000;1171;SPFB.RTS-12.18;1;12/12/2018;10:24;1.130.000.000.000;1.130.100.000.000;1.129.300.000.000;1.129.600.000.000;1350
SPFB.RTS-12.18;1;12/09/2018;10:25;1.052.000.000.000;1.052.000.000.000;1.051.800.000.000;1.051.800.000.000;3;SPFB.RTS-12.18;1;12/10/2018;10:25;1.138.800.000.000;1.139.500.000.000;1.138.400.000.000;1.138.600.000.000;1613;SPFB.RTS-12.18;1;12/11/2018;10:25;1.125.600.000.000;1.125.800.000.000;1.125.400.000.000;1.125.600.000.000;459;SPFB.RTS-12.18;1;12/12/2018;10:25;1.129.800.000.000;1.130.100.000.000;1.129.500.000.000;1.129.600.000.000;500
SPFB.RTS-12.18;1;12/09/2018;10:26;1.052.500.000.000;1.052.700.000.000;1.052.400.000.000;1.052.700.000.000;5;SPFB.RTS-12.18;1;12/10/2018;10:26;1.138.600.000.000;1.139.200.000.000;1.138.200.000.000;1.138.300.000.000;791;SPFB.RTS-12.18;1;12/11/2018;10:26;1.125.700.000.000;1.125.900.000.000;1.124.900.000.000;1.124.900.000.000;1090;SPFB.RTS-12.18;1;12/12/2018;10:26;1.129.600.000.000;1.129.800.000.000;1.128.200.000.000;1.129.100.000.000;1688
SPFB.RTS-12.18;1;12/09/2018;10:27;1.052.700.000.000;1.052.700.000.000;1.052.000.000.000;1.052.100.000.000;5;SPFB.RTS-12.18;1;12/10/2018;10:27;1.138.400.000.000;1.138.700.000.000;1.138.100.000.000;1.138.400.000.000;379;SPFB.RTS-12.18;1;12/11/2018;10:27;1.124.900.000.000;1.125.400.000.000;1.124.200.000.000;1.124.200.000.000;683;SPFB.RTS-12.18;1;12/12/2018;10:27;1.129.100.000.000;1.129.400.000.000;1.128.400.000.000;1.129.100.000.000;994
SPFB.RTS-12.18;1;12/09/2018;10:28;1.052.200.000.000;1.052.200.000.000;1.051.700.000.000;1.051.700.000.000;16;SPFB.RTS-12.18;1;12/10/2018;10:28;1.138.300.000.000;1.139.700.000.000;1.138.300.000.000;1.139.100.000.000;856;SPFB.RTS-12.18;1;12/11/2018;10:28;1.124.400.000.000;1.124.700.000.000;1.124.100.000.000;1.124.600.000.000;720;SPFB.RTS-12.18;1;12/12/2018;10:28;1.129.200.000.000;1.129.800.000.000;1.129.200.000.000;1.129.600.000.000;547
SPFB.RTS-12.18;1;12/09/2018;10:29;1.051.900.000.000;1.052.100.000.000;1.051.800.000.000;1.052.100.000.000;5;SPFB.RTS-12.18;1;12/10/2018;10:29;1.139.200.000.000;1.140.100.000.000;1.139.200.000.000;1.140.100.000.000;547;SPFB.RTS-12.18;1;12/11/2018;10:29;1.124.600.000.000;1.125.400.000.000;1.124.500.000.000;1.125.100.000.000;706;SPFB.RTS-12.18;1;12/12/2018;10:29;1.129.600.000.000;1.129.600.000.000;1.127.400.000.000;1.128.400.000.000;2779
SPFB.RTS-12.18;1;12/09/2018;10:30;1.052.200.000.000;1.052.400.000.000;1.052.200.000.000;1.052.400.000.000;6;SPFB.RTS-12.18;1;12/10/2018;10:30;1.140.200.000.000;1.140.400.000.000;1.139.200.000.000;1.139.800.000.000;807;SPFB.RTS-12.18;1;12/11/2018;10:30;1.125.000.000.000;1.125.300.000.000;1.124.900.000.000;1.125.000.000.000;436;SPFB.RTS-12.18;1;12/12/2018;10:30;1.128.500.000.000;1.128.500.000.000;1.127.900.000.000;1.128.300.000.000;659
SPFB.RTS-12.18;1;12/09/2018;10:31;1.052.800.000.000;1.053.000.000.000;1.052.700.000.000;1.052.700.000.000;14;SPFB.RTS-12.18;1;12/10/2018;10:31;1.140.000.000.000;1.140.000.000.000;1.138.400.000.000;1.139.400.000.000;1365;SPFB.RTS-12.18;1;12/11/2018;10:31;1.125.000.000.000;1.125.600.000.000;1.124.700.000.000;1.124.700.000.000;705;SPFB.RTS-12.18;1;12/12/2018;10:31;1.128.200.000.000;1.128.200.000.000;1.125.800.000.000;1.126.700.000.000;3866
SPFB.RTS-12.18;1;12/09/2018;10:32;1.052.700.000.000;1.052.700.000.000;1.051.700.000.000;1.052.200.000.000;12;SPFB.RTS-12.18;1;12/10/2018;10:32;1.139.400.000.000;1.139.400.000.000;1.138.300.000.000;1.138.300.000.000;605;SPFB.RTS-12.18;1;12/11/2018;10:32;1.124.700.000.000;1.124.800.000.000;1.124.400.000.000;1.124.500.000.000;516;SPFB.RTS-12.18;1;12/12/2018;10:32;1.126.600.000.000;1.127.100.000.000;1.126.500.000.000;1.127.000.000.000;1045
