<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,03/09/18,17:59,107430.0000000,107430.0000000,107430.0000000,107430.0000000,1
SPFB.RTS-12.18,1,03/09/18,18:05,107360.0000000,107360.0000000,107360.0000000,107360.0000000,1
SPFB.RTS-12.18,1,03/09/18,18:06,107310.0000000,107310.0000000,107260.0000000,107260.0000000,2
SPFB.RTS-12.18,1,03/09/18,18:11,107400.0000000,107400.0000000,107400.0000000,107400.0000000,1
SPFB.RTS-12.18,1,03/09/18,18:21,107320.0000000,107320.0000000,107320.0000000,107320.0000000,1
SPFB.RTS-12.18,1,03/09/18,18:23,107260.0000000,107280.0000000,107260.0000000,107280.0000000,4
SPFB.RTS-12.18,1,03/09/18,18:25,107300.0000000,107300.0000000,107300.0000000,107300.0000000,1
SPFB.RTS-12.18,1,03/09/18,18:30,107250.0000000,107250.0000000,107210.0000000,107210.0000000,2
SPFB.RTS-12.18,1,03/09/18,18:32,107260.0000000,107260.0000000,107250.0000000,107250.0000000,2
SPFB.RTS-12.18,1,03/09/18,18:40,107450.0000000,107530.0000000,107430.0000000,107530.0000000,9
SPFB.RTS-12.18,1,03/09/18,19:01,107480.0000000,107480.0000000,107480.0000000,107480.0000000,3
SPFB.RTS-12.18,1,03/09/18,19:05,107490.0000000,107490.0000000,107490.0000000,107490.0000000,1
SPFB.RTS-12.18,1,03/09/18,19:06,107530.0000000,107530.0000000,107530.0000000,107530.0000000,1
SPFB.RTS-12.18,1,03/09/18,19:07,107520.0000000,107550.0000000,107520.0000000,107550.0000000,2
SPFB.RTS-12.18,1,03/09/18,19:08,107550.0000000,107560.0000000,107550.0000000,107560.0000000,17
SPFB.RTS-12.18,1,03/09/18,19:09,107530.0000000,107530.0000000,107530.0000000,107530.0000000,1
SPFB.RTS-12.18,1,03/09/18,19:10,107540.0000000,107600.0000000,107510.0000000,107510.0000000,3
SPFB.RTS-12.18,1,03/09/18,19:11,107500.0000000,107500.0000000,107500.0000000,107500.0000000,1
SPFB.RTS-12.18,1,03/09/18,19:13,107460.0000000,107460.0000000,107410.0000000,107410.0000000,5
SPFB.RTS-12.18,1,03/09/18,19:33,107600.0000000,107600.0000000,107550.0000000,107550.0000000,2
SPFB.RTS-12.18,1,03/09/18,19:40,107550.0000000,107550.0000000,107550.0000000,107550.0000000,1
SPFB.RTS-12.18,1,03/09/18,19:48,107580.0000000,107580.0000000,107580.0000000,107580.0000000,1
SPFB.RTS-12.18,1,03/09/18,19:56,107600.0000000,107600.0000000,107600.0000000,107600.0000000,1
SPFB.RTS-12.18,1,03/09/18,19:59,107560.0000000,107570.0000000,107560.0000000,107570.0000000,2
SPFB.RTS-12.18,1,03/09/18,20:13,107680.0000000,107690.0000000,107680.0000000,107690.0000000,2
SPFB.RTS-12.18,1,03/09/18,20:14,107700.0000000,107790.0000000,107700.0000000,107770.0000000,6
SPFB.RTS-12.18,1,03/09/18,20:47,107620.0000000,107620.0000000,107620.0000000,107620.0000000,1
SPFB.RTS-12.18,1,03/09/18,21:38,107610.0000000,107610.0000000,107610.0000000,107610.0000000,1
SPFB.RTS-12.18,1,03/09/18,21:45,107600.0000000,107600.0000000,107600.0000000,107600.0000000,3
SPFB.RTS-12.18,1,03/09/18,21:51,107570.0000000,107570.0000000,107570.0000000,107570.0000000,2
SPFB.RTS-12.18,1,03/09/18,21:55,107560.0000000,107560.0000000,107560.0000000,107560.0000000,2
SPFB.RTS-12.18,1,03/09/18,23:40,107620.0000000,107620.0000000,107620.0000000,107620.0000000,5
SPFB.RTS-12.18,1,03/09/18,23:44,107620.0000000,107620.0000000,107620.0000000,107620.0000000,1
SPFB.RTS-12.18,1,04/09/18,10:01,107580.0000000,107580.0000000,107540.0000000,107540.0000000,6
SPFB.RTS-12.18,1,04/09/18,10:08,107700.0000000,107700.0000000,107610.0000000,107610.0000000,3
SPFB.RTS-12.18,1,04/09/18,10:11,107500.0000000,107500.0000000,107500.0000000,107500.0000000,1
SPFB.RTS-12.18,1,04/09/18,10:15,107570.0000000,107570.0000000,107570.0000000,107570.0000000,1
SPFB.RTS-12.18,1,04/09/18,10:17,107560.0000000,107560.0000000,107560.0000000,107560.0000000,1
SPFB.RTS-12.18,1,04/09/18,10:18,107610.0000000,107610.0000000,107610.0000000,107610.0000000,1
SPFB.RTS-12.18,1,04/09/18,10:20,107630.0000000,107640.0000000,107630.0000000,107640.0000000,5
SPFB.RTS-12.18,1,04/09/18,10:21,107670.0000000,107670.0000000,107670.0000000,107670.0000000,1
SPFB.RTS-12.18,1,04/09/18,10:25,107530.0000000,107530.0000000,107490.0000000,107490.0000000,100
SPFB.RTS-12.18,1,04/09/18,10:26,107530.0000000,107530.0000000,107490.0000000,107490.0000000,72
SPFB.RTS-12.18,1,04/09/18,10:30,107550.0000000,107550.0000000,107550.0000000,107550.0000000,1
SPFB.RTS-12.18,1,04/09/18,10:34,107640.0000000,107800.0000000,107640.0000000,107800.0000000,6
SPFB.RTS-12.18,1,04/09/18,10:35,107760.0000000,107760.0000000,107760.0000000,107760.0000000,1
SPFB.RTS-12.18,1,04/09/18,10:36,107710.0000000,107710.0000000,107710.0000000,107710.0000000,1
SPFB.RTS-12.18,1,04/09/18,10:40,107790.0000000,107790.0000000,107790.0000000,107790.0000000,1
SPFB.RTS-12.18,1,04/09/18,10:42,107750.0000000,107750.0000000,107750.0000000,107750.0000000,1
SPFB.RTS-12.18,1,04/09/18,10:47,107720.0000000,107720.0000000,107650.0000000,107680.0000000,6
SPFB.RTS-12.18,1,04/09/18,10:52,107750.0000000,107750.0000000,107720.0000000,107720.0000000,8
SPFB.RTS-12.18,1,04/09/18,10:53,107610.0000000,107610.0000000,107600.0000000,107600.0000000,2
SPFB.RTS-12.18,1,04/09/18,10:54,107580.0000000,107580.0000000,107580.0000000,107580.0000000,1
SPFB.RTS-12.18,1,04/09/18,10:55,107510.0000000,107580.0000000,107510.0000000,107580.0000000,51
